Note,Frequency,Emergence Odds-Ratio,Suppression Odds-Ratio
fruity,50409,0.0431246766683911,1.1734505949301604
floral,47627,0.13292418944313614,0.9633435619305882
green,29375,0.038499611115039245,2.6173018454359047
waxy,11092,0.1556574286309648,4.086163784121692
herbal,9157,0.2055028962611901,4.43812532912059
woody,8707,0.022068317877685175,4.56098133583754
balsamic,7047,0.12896507529637938,2.8785645626401792
citrus,5544,0.2099519860323003,5.651025752946311
spicy,5291,0.20633834929320566,5.326265389876881
fatty,4679,0.330773606370876,7.889078498293515
sulfurous,4217,0.024289531212047608,1.5992227350012145
aldehydic,3608,0.0621136296732411,2.738592876067118
honey,3007,0.023137121469887716,4.708063967335828
ethereal,2947,0.19215210355987056,3.811084142394822
caramellic,2474,0.08938793483047115,2.769264641127257
creamy,2387,0.15593220338983052,6.825181598062954
alliaceous,2122,0.14455231930960086,0.8921251348435815
berry,2111,0.5197984161267099,12.886249100071995
vanilla,1899,0.0,2.555028962611901
nutty,1679,0.23184152604548788,8.567865003668379
buttery,1395,0.14250614250614252,4.292383292383293
tropical,1376,0.3983739837398374,33.90243902439025
earthy,1340,0.2909441233140655,16.973025048169557
musk,1311,0.0,3.9382151029748282
fermented,1174,0.9437086092715232,8.230132450331126
cooling,1106,1.778894472361809,17.452261306532662
soapy,1087,0.16881720430107527,7.844086021505376
animal,1078,0.4807692307692308,7.017857142857143
amber,1064,0.04416094210009813,7.493621197252208
musty,1047,1.1066398390342052,25.072434607645874
winey,989,0.5053272450532724,17.799086757990867
melon,957,0.24124513618677043,14.456549935149157
camphoreous,871,0.0,7.128587830080368
medicinal,860,9.75,27.9
tonka,837,0.2681818181818182,2.0166666666666666
coffee,799,0.24454828660436137,6.957943925233645
estery,739,1.0584958217270195,23.089136490250695
coconut,714,0.0,10.165266106442576
meaty,688,0.0,9.078488372093023
chocolate,624,0.24055666003976142,6.815109343936382
chemical,598,0.7904191616766467,8.2125748502994
aromatic,580,8.0625,23.125
onion,547,0.1788793103448276,9.989224137931034
phenolic,519,0.0880503144654088,19.10272536687631
vegetable,483,0.14454976303317535,38.741706161137444
powdery,464,1.3794871794871795,117.88717948717948
mossy,454,0.0966183574879227,2.031400966183575
acidic,453,0.1889763779527559,6.6299212598425195
cherry,443,0.0,20.52370203160271
brown,434,1.1379310344827587,14.251231527093596
rummy,416,0.0,18.978365384615383
roasted,407,0.4131944444444444,18.618055555555557
cheesy,403,0.0,17.28287841191067
jammy,401,0.3411371237458194,20.03344481605351
dairy,384,0.4275092936802974,19.304832713754646
burnt,379,3.511904761904762,47.273809523809526
oily,377,0.5643153526970954,94.66390041493776
coumarinic,366,0.0,8.830601092896174
mentholic,364,0.6621004566210046,6.529680365296803
marine,336,2.0545454545454547,20.936363636363637
bitter,272,2.5324675324675323,33.20779220779221
fusel,265,0.0,9.418867924528302
fungal,242,0.23469387755102042,9.204081632653061
pungent,239,0.0,39.18410041841004
cocoa,224,0.19148936170212766,27.069148936170212
sweet,224,0.9145299145299145,847.7264957264957
toasted,218,0.0,4.76605504587156
juicy,185,45.25,1639.5
orris,182,0.0,24.47252747252747
licorice,181,1.661764705882353,42.36764705882353
sour,175,6.0,86.8
bready,151,0.4519230769230769,34.125
tomato,138,0.0,11.355072463768115
thujonic,123,0.0,8.138211382113822
eggy,120,19.0,147.0
cabbage,111,54.5,764.5
moldy,105,0.0,1.6285714285714286
tobacco,101,0.0,57.75247524752475
solvent,93,0.0,12.989247311827956
clean,78,0.08333333333333333,186.40277777777777
garlic,77,0.0,49.714285714285715
fresh,73,1.1470588235294117,1300.8529411764705
corn,70,0.0,14.214285714285714
alcoholic,66,0.0,30.12121212121212
leathery,61,0.0,35.459016393442624
mustard,57,6.125,70.875
malty,51,50.0,1024.0
potato,51,11.75,490.25
smoky,39,0.0,50.92307692307692
mushroom,38,8.5,1455.0
celery,34,16.0,1839.0
lactonic,34,0.0,147.7941176470588
dusty,32,0.0,100.96875
tarragon,28,0.0,5.285714285714286
rooty,24,0.0,106.20833333333333
fishy,19,0.0,46.36842105263158
acetic,13,0.0,52.76923076923077
pine,13,0.0,419.84615384615387
peach,10,0.0,1069.4
ammoniacal,9,0.0,7.777777777777778
hay,2,inf,inf
salty,1,inf,inf
